Count     Luminosity(mb-1)    bin Width           Pid Eff             iTPC cutoff Eff     UPC fraction        DCA                 Track Reco          Differential Cross Section (mb)
532                 13267               0.02                0.95247   0.968962            0.3                 0.9                 0.95                8.46961             
589                 13267               0.02                0.95247   0.97113             0.3                 0.9                 0.95                9.35613             
713                 13267               0.02                0.942824  0.971498            0.3                 0.9                 0.95                11.4374             
680                 13267               0.02                0.942824  0.972685            0.3                 0.9                 0.95                10.8947             
820                 13267               0.02                0.939439  0.971263            0.3                 0.9                 0.95                13.2044             
858                 13267               0.02                0.939439  0.970191            0.3                 0.9                 0.95                13.8316             
944                 13267               0.02                0.943495  0.971394            0.3                 0.9                 0.95                15.1338             
1042                13267               0.02                0.943495  0.969779            0.3                 0.9                 0.95                16.7327             
1061                13267               0.02                0.935511  0.971054            0.3                 0.9                 0.95                17.1606             
1239                13267               0.02                0.935511  0.971792            0.3                 0.9                 0.95                20.0244             
1161                13267               0.02                0.923718  0.971879            0.3                 0.9                 0.95                19.0016             
1256                13267               0.02                0.923718  0.973366            0.3                 0.9                 0.95                20.525              
1352                13267               0.02                0.932847  0.971397            0.3                 0.9                 0.95                21.9219             
1379                13267               0.02                0.932847  0.972358            0.3                 0.9                 0.95                22.3376             
1449                13267               0.02                0.918367  0.971678            0.3                 0.9                 0.95                23.8583             
1472                13267               0.02                0.918367  0.972983            0.3                 0.9                 0.95                24.2045             
1494                13267               0.02                0.917577  0.971389            0.3                 0.9                 0.95                24.6278             
1546                13267               0.02                0.917577  0.970787            0.3                 0.9                 0.95                25.5008             
1483                13267               0.02                0.898672  0.970105            0.3                 0.9                 0.95                24.9937             
1573                13267               0.02                0.898672  0.971469            0.3                 0.9                 0.95                26.4733             
1613                13267               0.02                0.904336  0.971187            0.3                 0.9                 0.95                26.9843             
1598                13267               0.02                0.904336  0.970928            0.3                 0.9                 0.95                26.7405             
1620                13267               0.02                0.908053  0.970904            0.3                 0.9                 0.95                26.9984             
1668                13267               0.02                0.908053  0.973767            0.3                 0.9                 0.95                27.7166             
1648                13267               0.02                0.903607  0.972743            0.3                 0.9                 0.95                27.548              
1701                13267               0.02                0.903607  0.972751            0.3                 0.9                 0.95                28.4337             
1615                13267               0.02                0.895091  0.971559            0.3                 0.9                 0.95                27.2864             
1612                13267               0.02                0.895091  0.971127            0.3                 0.9                 0.95                27.2478             
1658                13267               0.02                0.901084  0.970343            0.3                 0.9                 0.95                27.8614             
1617                13267               0.02                0.901084  0.971334            0.3                 0.9                 0.95                27.1448             
