K1 Pt                          K2 Pt                           Phi Pt                         Delta Pt
1.7230023468e-01               1.8632540906e-01               3.5260757701e-01               6.0180667265e-03
3.1424106246e-01               1.3195714887e-01               4.0080907359e-01               4.5389137744e-02
6.6011383875e-02               7.3332190424e-02               1.3888494527e-02               1.2545507977e-01
1.0816074635e-01               1.4398707296e-01               3.6632057946e-02               2.1551576136e-01
4.3590211529e-01               3.0905317762e-01               7.2137238775e-01               2.3582905164e-02
1.0498877155e-01               2.0273135846e-01               2.6256641093e-01               4.5153719069e-02
5.1035194455e-01               4.6932032325e-01               9.5281581904e-01               2.6856448757e-02
1.2763482696e-01               2.1523283670e-01               2.5574936665e-01               8.7118297000e-02
6.2235580225e-02               5.2395930911e-02               1.1307984259e-01               1.5516685442e-03
2.7721580377e-01               2.5727596171e-01               5.1999382852e-01               1.4497936961e-02
7.5342461425e-01               8.5867041019e-01               1.5931525334e+00               1.8942491032e-02
6.3136801186e-01               5.2643326832e-01               1.1400750067e+00               1.7726273462e-02
6.1673309438e-01               4.6497573371e-01               1.0679982673e+00               1.3710560795e-02
2.2707449509e-01               1.8749771764e-01               4.0891531095e-01               5.6569017824e-03
2.1918149777e-01               6.3478210503e-02               2.7577437300e-01               6.8853352687e-03
8.6170118182e-01               6.7669079647e-01               1.5223670934e+00               1.6024884867e-02
2.9570653661e-02               1.3685699085e-01               1.6243765292e-01               3.9899915891e-03
2.9769963711e-01               4.6838417063e-01               7.3623391268e-01               2.9849895060e-02
2.1473030031e-01               2.0702764834e-01               3.3528545976e-01               8.6472488884e-02
1.2266794161e-01               3.1745849438e-01               4.0778770412e-01               3.2338731873e-02
3.6238350254e-01               5.6255579109e-01               9.0747205328e-01               1.7467240344e-02
1.2415017243e-01               1.2466699109e-01               1.8090973702e-02               2.3072618982e-01
1.4530877745e-01               3.6306108028e-01               4.9765516453e-01               1.0714693205e-02
2.8616779536e-01               2.6605778831e-01               5.0882298666e-01               4.3402597007e-02
3.4500120746e-01               1.0460102349e-01               4.2922562294e-01               2.0376608010e-02
6.6113824166e-01               6.0068152511e-01               1.2383913030e+00               2.3428463776e-02
1.9682050839e-01               6.5145233470e-02               1.3677208255e-01               1.2519365931e-01
4.2380103091e-01               5.4542348302e-01               9.3934477588e-01               2.9879738058e-02
2.7937267129e-01               1.4656657721e-01               3.9121630730e-01               3.4722941197e-02
1.6009752073e-01               1.5901186378e-01               2.2858023591e-01               9.0529148597e-02
8.0490276853e-02               9.4168617428e-02               4.7315209038e-02               1.2734368524e-01
2.7574469197e-01               1.2826470983e-01               3.9862691466e-01               5.3824871345e-03
2.0109363323e-01               2.8153349931e-01               4.3353530764e-01               4.9091824894e-02
3.2276640235e-01               2.6582507882e-01               5.3953298307e-01               4.9058498104e-02
1.9502791755e-01               2.5581625690e-01               4.2709669193e-01               2.3747482516e-02
2.5524283061e-01               3.5145360528e-02               2.5109501255e-01               3.9293178592e-02
2.4947322960e-02               7.8194387801e-03               2.4230219256e-02               8.5365424844e-03
1.5437158002e-01               3.7147892898e-01               4.9976987851e-01               2.6080630483e-02
6.0480093153e-02               1.7380318893e-01               1.1510046629e-01               1.1918281580e-01
1.9715125788e-01               1.1309326122e-01               1.9422943408e-01               1.1601508503e-01
4.8090896685e-01               4.1930550936e-01               8.7995239388e-01               2.0262082325e-02
2.3372570420e-01               1.0113735375e-01               2.7369572826e-01               6.1167329689e-02
7.1104181891e-01               5.2938035220e-01               1.2228843324e+00               1.7537838718e-02
5.1507307567e-01               4.7051229410e-01               9.5268733344e-01               3.2898036328e-02
4.3530023686e-01               4.6534276388e-01               8.6350407616e-01               3.7138924583e-02
3.4287005430e-01               2.3274256696e-01               5.4037132665e-01               3.5241294616e-02
4.0017078323e-01               6.5910925456e-01               1.0429596029e+00               1.6320434912e-02
8.6363065513e-01               6.0876626440e-01               1.4569503183e+00               1.5446601242e-02
2.6521960902e-01               4.0258231793e-01               6.4062689055e-01               2.7175036409e-02
6.0363757971e-01               5.7086164828e-01               1.1569279494e+00               1.7571278555e-02
1.7308612836e-01               4.0129603293e-02               1.7088198847e-01               4.2333743183e-02
6.7150163539e-01               8.9661571877e-01               1.5518029182e+00               1.6314435944e-02
2.8095679409e-01               4.6256057798e-01               7.1669366679e-01               2.6823705275e-02
2.4915004773e-02               7.3981766198e-02               7.9511311774e-02               1.9385459197e-02
3.7394149214e-01               3.6924651339e-01               6.9726491529e-01               4.5923090242e-02
4.9617602357e-01               5.4754208667e-01               1.0234800964e+00               2.0238013805e-02
1.3530192633e-01               8.4124536487e-02               2.0654611013e-01               1.2880352686e-02
7.4080280124e-01               7.4170352720e-01               1.4603709929e+00               2.2135335574e-02
2.7730235808e-01               1.7869789459e-01               4.5069040842e-01               5.3098442475e-03
3.8600516541e-01               4.1062175046e-01               7.8703460674e-01               9.5923091288e-03
4.1424614814e-01               4.8997184140e-01               8.7911296559e-01               2.5105023944e-02
3.9835483696e-01               3.4105923037e-01               7.3028990531e-01               9.1241620252e-03
6.4170560013e-01               6.9017506950e-01               1.3168105542e+00               1.5070115461e-02
2.6323469412e-01               8.3340929611e-02               2.9124856743e-01               5.5327056302e-02
6.0069223788e-01               7.8627756012e-01               1.3713660662e+00               1.5603731840e-02
7.7979979995e-01               8.2899464066e-01               1.5890407871e+00               1.9753653465e-02
1.3500334886e-01               2.1923374587e-01               2.5672016644e-01               9.7516928291e-02
9.8968017431e-02               1.6037462838e-01               7.0913127661e-02               1.8842951815e-01
1.1232426864e-01               1.2890878691e-01               1.6621804078e-02               2.2461125147e-01
3.3380598402e-01               2.8036361470e-01               6.0625397282e-01               7.9156259011e-03
2.1966256813e-01               9.7495661851e-02               3.1256142137e-01               4.5968086145e-03
2.4920483753e-01               8.2553103666e-02               2.6449091485e-01               6.7267026347e-02
3.4131130193e-01               3.2066743178e-01               6.5272119055e-01               9.2575431622e-03
2.2651405139e-01               4.4898016448e-01               6.5507612031e-01               2.0418095571e-02
3.4552954920e-01               1.6174381116e-01               4.6749369500e-01               3.9779665359e-02
4.6047083159e-01               3.5457021738e-01               7.9537945404e-01               1.9661594927e-02
2.7627217529e-01               1.6306012929e-01               3.8788662648e-01               5.1445678101e-02
1.0473595345e-01               9.0391474286e-02               1.4360201507e-02               1.8076722623e-01
1.8790691332e-02               3.6966970121e-02               2.2991420379e-02               3.2766241074e-02
1.3221126426e-01               1.0723378611e-01               7.7691720731e-02               1.6175332964e-01
1.5683516221e-01               2.0080432385e-01               3.2888886950e-01               2.8750616551e-02
2.1793392126e-01               3.2144022926e-01               5.1631797005e-01               2.3056180468e-02
3.4174254874e-01               3.0611388879e-01               6.1449925768e-01               3.3357179851e-02
2.9992541566e-01               4.9110988197e-01               7.6628416127e-01               2.4751136360e-02
2.8482580370e-01               5.8588515629e-02               3.1248653093e-01               3.0927788396e-02
1.8497148887e-01               1.1208362999e-01               2.3033220582e-01               6.6722913035e-02
2.9901214585e-01               2.2454759185e-01               5.1328577599e-01               1.0273961710e-02
2.7514207219e-01               1.8557652559e-01               4.0739862800e-01               5.3319969777e-02
1.3294789985e-01               1.8279522437e-01               1.8934771981e-01               1.2639540440e-01
2.6117101918e-01               3.0467475667e-01               5.4008876542e-01               2.5757010429e-02
2.8092036511e-01               3.8156129079e-01               6.4929069335e-01               1.3190962556e-02
2.8484496839e-01               3.7571246222e-01               6.1640325401e-01               4.4154176594e-02
4.1835030124e-01               5.8554061779e-01               9.8595721012e-01               1.7933708907e-02
1.8394638384e-01               1.6215700842e-01               2.3995036980e-01               1.0615302246e-01
1.6000236271e-01               2.8455227921e-01               3.8699528404e-01               5.7559357879e-02
4.5819952372e-01               4.3418149383e-01               8.8173886360e-01               1.0642153960e-02
9.7725768546e-02               1.2758847437e-01               2.2136425659e-01               3.9499863200e-03
2.1867753259e-01               1.3800136985e-01               2.6728057466e-01               8.9398327775e-02
4.3377394981e-01               3.3587713367e-01               7.2973839857e-01               3.9912684916e-02
4.8285132384e-01               2.8940386271e-01               7.4496295734e-01               2.7292229209e-02
